rank,feature,importance
1,car,0.469706
2,cam_score,0.342183
3,truck,0.087814
4,bus,0.077540
5,person,0.006129
6,bike,0.005463
7,kalman_gain,0.004212
8,rider,0.001148
9,motor,0.000994
10,kalman_innovation,0.000728
11,weather_snowy,0.000657
12,stop_duration,0.000604
13,kalman_state,0.000557
14,gps_variance,0.000503
15,gps_accel,0.000483
16,kalman_P,0.000452
17,gps_speed,0.000287
18,norm_speed,0.000266
19,weather_rainy,0.000104
20,weather_overcast,0.000051
21,weather_partly_cloudy,0.000031
22,weather_clear,0.000031
23,scene_residential,0.000019
24,scene_city_street,0.000014
25,train,0.000010
26,weather_foggy,0.000008
27,scene_highway,0.000007
